Epoch 0: train_loss=5.6492, train_acc=3.11, val_loss=5.0458, val_acc=7.61, lr=0.001000,
Epoch 1: train_loss=4.6815, train_acc=12.75, val_loss=4.2844, val_acc=19.49, lr=0.001000,
Epoch 2: train_loss=3.9966, train_acc=24.63, val_loss=3.8477, val_acc=27.67, lr=0.000999,
Epoch 3: train_loss=3.5291, train_acc=34.46, val_loss=3.4231, val_acc=37.21, lr=0.000998,
Epoch 4: train_loss=3.1921, train_acc=42.34, val_loss=3.1477, val_acc=43.59, lr=0.000997,
Epoch 5: train_loss=2.9499, train_acc=48.30, val_loss=2.9108, val_acc=49.06, lr=0.000996,
Epoch 6: train_loss=2.7671, train_acc=52.85, val_loss=2.7737, val_acc=52.65, lr=0.000995,
Epoch 7: train_loss=2.6214, train_acc=56.61, val_loss=2.6064, val_acc=56.89, lr=0.000993,
Epoch 8: train_loss=2.5019, train_acc=59.77, val_loss=2.6063, val_acc=56.60, lr=0.000991,
Epoch 9: train_loss=2.4041, train_acc=62.25, val_loss=2.4989, val_acc=59.33, lr=0.000989,
Epoch 10: train_loss=2.3155, train_acc=64.61, val_loss=2.5063, val_acc=59.73, lr=0.000987,
Epoch 11: train_loss=2.2444, train_acc=66.52, val_loss=2.3816, val_acc=62.69, lr=0.000984,
Epoch 12: train_loss=2.1785, train_acc=68.37, val_loss=2.3721, val_acc=63.00, lr=0.000982,
Epoch 13: train_loss=2.1190, train_acc=70.00, val_loss=2.3509, val_acc=63.26, lr=0.000979,
Epoch 14: train_loss=2.0661, train_acc=71.52, val_loss=2.3290, val_acc=64.23, lr=0.000976,
Epoch 15: train_loss=2.0190, train_acc=72.91, val_loss=2.2724, val_acc=65.44, lr=0.000972,
Epoch 16: train_loss=1.9730, train_acc=74.23, val_loss=2.2626, val_acc=65.60, lr=0.000969,
Epoch 17: train_loss=1.9312, train_acc=75.38, val_loss=2.2448, val_acc=66.53, lr=0.000965,
Epoch 18: train_loss=1.8934, train_acc=76.51, val_loss=2.2259, val_acc=66.80, lr=0.000961,
Epoch 19: train_loss=1.8580, train_acc=77.53, val_loss=2.2449, val_acc=66.50, lr=0.000957,
Epoch 20: train_loss=1.8223, train_acc=78.78, val_loss=2.2088, val_acc=67.74, lr=0.000952,
Epoch 21: train_loss=1.7921, train_acc=79.65, val_loss=2.2142, val_acc=67.29, lr=0.000948,
Epoch 22: train_loss=1.7600, train_acc=80.65, val_loss=2.1984, val_acc=67.74, lr=0.000943,
Epoch 23: train_loss=1.7324, train_acc=81.54, val_loss=2.2181, val_acc=67.34, lr=0.000938,
Epoch 24: train_loss=1.7066, train_acc=82.36, val_loss=2.2211, val_acc=67.42, lr=0.000933,
Epoch 25: train_loss=1.6796, train_acc=83.32, val_loss=2.2401, val_acc=66.94, lr=0.000928,
Epoch 26: train_loss=1.6580, train_acc=83.89, val_loss=2.2306, val_acc=66.81, lr=0.000922,
Epoch 27: train_loss=1.6370, train_acc=84.69, val_loss=2.2587, val_acc=67.16, lr=0.000917,
Epoch 28: train_loss=1.6161, train_acc=85.37, val_loss=2.1984, val_acc=68.05, lr=0.000911,
Epoch 29: train_loss=1.5962, train_acc=86.10, val_loss=2.2616, val_acc=67.02, lr=0.000905,
Epoch 30: train_loss=1.5773, train_acc=86.63, val_loss=2.2277, val_acc=67.59, lr=0.000898,
Epoch 31: train_loss=1.5578, train_acc=87.43, val_loss=2.2414, val_acc=66.95, lr=0.000892,
Epoch 32: train_loss=1.5421, train_acc=87.86, val_loss=2.2692, val_acc=67.20, lr=0.000885,
Epoch 33: train_loss=1.5270, train_acc=88.46, val_loss=2.2984, val_acc=66.44, lr=0.000879,
Epoch 34: train_loss=0.4998, train_acc=86.08, val_loss=1.4552, val_acc=66.28, lr=0.000872,
Epoch 35: train_loss=0.4412, train_acc=87.04, val_loss=1.4980, val_acc=66.37, lr=0.000865,
Epoch 36: train_loss=0.4023, train_acc=88.06, val_loss=1.4723, val_acc=65.92, lr=0.000857,
