Class                    Total   Correct   Top1 Acc    Top5 Acc  
00060                    62      12        19.35       79.03     
00054                    63      15        23.81       68.25     
00068                    64      16        25.00       89.06     
00058                    60      16        26.67       65.00     
00046                    63      17        26.98       85.71     
00282                    61      17        27.87       78.69     
00250                    62      19        30.65       79.03     
00463                    67      21        31.34       70.15     
00158                    41      13        31.71       70.73     
00167                    38      13        34.21       84.21     
00231                    70      24        34.29       80.00     
00124                    60      21        35.00       58.33     
00026                    65      23        35.38       73.85     
00499                    53      19        35.85       67.92     
00185                    61      22        36.07       80.33     
00419                    61      22        36.07       68.85     
00241                    63      23        36.51       88.89     
00278                    63      23        36.51       84.13     
00265                    68      26        38.24       77.94     
00381                    64      25        39.06       67.19     
00380                    61      24        39.34       78.69     
00165                    35      14        40.00       80.00     
00358                    65      26        40.00       89.23     
00023                    64      26        40.62       73.44     
00074                    64      26        40.62       89.06     
00313                    64      26        40.62       68.75     
00497                    64      26        40.62       89.06     
00193                    66      27        40.91       78.79     
00202                    66      27        40.91       72.73     
00036                    65      27        41.54       73.85     
00189                    65      27        41.54       76.92     
00341                    62      26        41.94       72.58     
00349                    64      27        42.19       93.75     
00312                    59      25        42.37       81.36     
00356                    66      28        42.42       74.24     
00412                    66      28        42.42       75.76     
00159                    61      26        42.62       86.89     
00208                    65      28        43.08       72.31     
00391                    65      28        43.08       78.46     
00248                    67      29        43.28       89.55     
00246                    64      28        43.75       78.12     
00166                    50      22        44.00       86.00     
00481                    59      26        44.07       76.27     
00176                    63      28        44.44       82.54     
00267                    63      28        44.44       88.89     
00421                    64      29        45.31       70.31     
00456                    64      29        45.31       71.88     
00066                    63      29        46.03       87.30     
00197                    65      30        46.15       83.08     
00180                    64      30        46.88       78.12     
00191                    61      29        47.54       78.69     
00238                    63      30        47.62       80.95     
00311                    63      30        47.62       74.60     
00198                    60      29        48.33       93.33     
00163                    62      30        48.39       72.58     
00005                    64      31        48.44       85.94     
00330                    68      33        48.53       82.35     
00073                    63      31        49.21       95.24     
00112                    63      31        49.21       73.02     
00266                    63      31        49.21       87.30     
00298                    63      31        49.21       88.89     
00434                    63      31        49.21       73.02     
00065                    65      32        49.23       78.46     
00384                    62      31        50.00       85.48     
00418                    62      31        50.00       72.58     
00039                    65      33        50.77       81.54     
00304                    65      33        50.77       93.85     
00103                    63      32        50.79       79.37     
00118                    63      32        50.79       82.54     
00119                    63      32        50.79       84.13     
00151                    63      32        50.79       77.78     
00179                    63      32        50.79       80.95     
00379                    63      32        50.79       85.71     
00385                    63      32        50.79       95.24     
00168                    64      33        51.56       84.38     
00256                    64      33        51.56       81.25     
00280                    64      33        51.56       82.81     
00353                    64      33        51.56       84.38     
00035                    67      35        52.24       91.04     
00415                    65      34        52.31       89.23     
00482                    65      34        52.31       93.85     
00360                    63      33        52.38       69.84     
00206                    59      31        52.54       81.36     
00390                    59      31        52.54       79.66     
00424                    66      35        53.03       92.42     
00171                    64      34        53.12       84.38     
00222                    64      34        53.12       84.38     
00345                    64      34        53.12       85.94     
00004                    62      33        53.23       82.26     
00269                    62      33        53.23       88.71     
00162                    65      35        53.85       89.23     
00264                    65      35        53.85       83.08     
00285                    65      35        53.85       90.77     
00420                    65      35        53.85       73.85     
00101                    63      34        53.97       95.24     
00314                    63      34        53.97       87.30     
00452                    63      34        53.97       77.78     
00079                    61      33        54.10       72.13     
00240                    68      37        54.41       91.18     
00374                    64      35        54.69       76.56     
00441                    64      35        54.69       85.94     
00212                    60      33        55.00       76.67     
00470                    60      33        55.00       76.67     
00443                    65      36        55.38       90.77     
00446                    65      36        55.38       72.31     
00040                    63      35        55.56       84.13     
00052                    63      35        55.56       76.19     
00223                    63      35        55.56       76.19     
00233                    66      37        56.06       81.82     
00494                    64      36        56.25       78.12     
00062                    53      30        56.60       73.58     
00175                    37      21        56.76       83.78     
00329                    65      37        56.92       78.46     
00457                    65      37        56.92       84.62     
00489                    65      37        56.92       75.38     
00226                    63      36        57.14       84.13     
00281                    63      36        57.14       96.83     
00485                    63      36        57.14       90.48     
00337                    68      39        57.35       85.29     
00187                    61      35        57.38       86.89     
00395                    61      35        57.38       80.33     
00473                    61      35        57.38       78.69     
00477                    59      34        57.63       81.36     
00164                    52      30        57.69       80.77     
00050                    64      37        57.81       89.06     
00245                    64      37        57.81       82.81     
00342                    64      37        57.81       84.38     
00478                    64      37        57.81       87.50     
00006                    65      38        58.46       89.23     
00150                    65      38        58.46       84.62     
00172                    65      38        58.46       84.62     
00204                    65      38        58.46       92.31     
00487                    65      38        58.46       83.08     
00059                    63      37        58.73       85.71     
00170                    63      37        58.73       74.60     
00182                    63      37        58.73       79.37     
00242                    63      37        58.73       85.71     
00459                    63      37        58.73       90.48     
00263                    66      39        59.09       86.36     
00032                    64      38        59.38       93.75     
00033                    64      38        59.38       85.94     
00110                    64      38        59.38       85.94     
00232                    64      38        59.38       82.81     
00474                    64      38        59.38       89.06     
00215                    62      37        59.68       91.94     
00359                    65      39        60.00       89.23     
00435                    65      39        60.00       78.46     
00438                    65      39        60.00       80.00     
00462                    65      39        60.00       72.31     
00104                    68      41        60.29       83.82     
00077                    63      38        60.32       85.71     
00122                    63      38        60.32       88.89     
00154                    66      40        60.61       89.39     
00235                    64      39        60.94       81.25     
00302                    64      39        60.94       93.75     
00310                    64      39        60.94       79.69     
00366                    64      39        60.94       82.81     
00451                    64      39        60.94       85.94     
00461                    64      39        60.94       82.81     
00201                    65      40        61.54       93.85     
00227                    65      40        61.54       86.15     
00155                    63      39        61.90       90.48     
00348                    63      39        61.90       82.54     
00169                    66      41        62.12       87.88     
00173                    66      41        62.12       81.82     
00195                    66      41        62.12       87.88     
00386                    66      41        62.12       93.94     
00409                    66      41        62.12       83.33     
00464                    61      38        62.30       86.89     
00209                    64      40        62.50       84.38     
00229                    64      40        62.50       82.81     
00319                    62      39        62.90       93.55     
00413                    62      39        62.90       88.71     
00055                    65      41        63.08       96.92     
00061                    65      41        63.08       90.77     
00296                    65      41        63.08       87.69     
00411                    65      41        63.08       87.69     
00433                    65      41        63.08       87.69     
00200                    60      38        63.33       78.33     
00306                    60      38        63.33       91.67     
00465                    60      38        63.33       90.00     
00044                    63      40        63.49       88.89     
00126                    63      40        63.49       80.95     
00192                    63      40        63.49       90.48     
00210                    63      40        63.49       88.89     
00394                    63      40        63.49       85.71     
00410                    63      40        63.49       77.78     
00447                    63      40        63.49       84.13     
00078                    61      39        63.93       88.52     
00064                    64      41        64.06       92.19     
00236                    64      41        64.06       85.94     
00370                    64      41        64.06       81.25     
00207                    67      43        64.18       85.07     
00194                    56      36        64.29       87.50     
00184                    62      40        64.52       83.87     
00399                    62      40        64.52       87.10     
00230                    65      42        64.62       92.31     
00249                    65      42        64.62       83.08     
00254                    65      42        64.62       83.08     
00357                    65      42        64.62       76.92     
00031                    63      41        65.08       95.24     
00181                    63      41        65.08       77.78     
00318                    63      41        65.08       87.30     
00364                    63      41        65.08       74.60     
00190                    46      30        65.22       86.96     
00188                    49      32        65.31       87.76     
00034                    62      41        66.13       82.26     
00428                    62      41        66.13       80.65     
00038                    65      43        66.15       78.46     
00225                    65      43        66.15       80.00     
00369                    65      43        66.15       92.31     
00196                    68      45        66.18       88.24     
00002                    63      42        66.67       95.24     
00152                    39      26        66.67       89.74     
00448                    66      44        66.67       84.85     
00272                    64      43        67.19       79.69     
00082                    61      41        67.21       96.72     
00211                    61      41        67.21       80.33     
00221                    49      33        67.35       93.88     
00268                    37      25        67.57       86.49     
00288                    68      46        67.65       97.06     
00041                    65      44        67.69       89.23     
00160                    65      44        67.69       89.23     
00217                    65      44        67.69       87.69     
00427                    65      44        67.69       84.62     
00432                    65      44        67.69       83.08     
00488                    65      44        67.69       81.54     
00121                    62      42        67.74       95.16     
00161                    62      42        67.74       83.87     
00273                    62      42        67.74       87.10     
00367                    62      42        67.74       87.10     
00262                    53      36        67.92       86.79     
00362                    66      45        68.18       80.30     
00218                    63      43        68.25       93.65     
00316                    63      43        68.25       93.65     
00436                    63      43        68.25       92.06     
00377                    60      41        68.33       80.00     
00114                    64      44        68.75       89.06     
00120                    64      44        68.75       89.06     
00177                    64      44        68.75       85.94     
00224                    64      44        68.75       85.94     
00368                    64      44        68.75       82.81     
00099                    61      42        68.85       85.25     
00239                    61      42        68.85       98.36     
00423                    61      42        68.85       90.16     
00455                    61      42        68.85       83.61     
00471                    68      47        69.12       91.18     
00047                    65      45        69.23       81.54     
00277                    65      45        69.23       93.85     
00389                    65      45        69.23       89.23     
00440                    65      45        69.23       83.08     
00276                    62      43        69.35       87.10     
00373                    62      43        69.35       90.32     
00468                    62      43        69.35       95.16     
00234                    66      46        69.70       84.85     
00253                    63      44        69.84       85.71     
00270                    63      44        69.84       93.65     
00271                    63      44        69.84       92.06     
00220                    60      42        70.00       83.33     
00252                    50      35        70.00       92.00     
00449                    67      47        70.15       89.55     
00049                    64      45        70.31       92.19     
00111                    64      45        70.31       92.19     
00237                    64      45        70.31       89.06     
00244                    64      45        70.31       87.50     
00303                    64      45        70.31       95.31     
00371                    64      45        70.31       89.06     
00422                    64      45        70.31       89.06     
00063                    61      43        70.49       88.52     
00108                    68      48        70.59       97.06     
00260                    65      46        70.77       81.54     
00352                    65      46        70.77       95.38     
00128                    62      44        70.97       90.32     
00309                    62      44        70.97       95.16     
00378                    62      44        70.97       88.71     
00453                    66      47        71.21       93.94     
00094                    63      45        71.43       87.30     
00274                    63      45        71.43       82.54     
00397                    63      45        71.43       95.24     
00219                    67      48        71.64       91.04     
00257                    64      46        71.88       87.50     
00301                    64      46        71.88       93.75     
00355                    64      46        71.88       95.31     
00407                    64      46        71.88       90.62     
00454                    64      46        71.88       93.75     
00085                    61      44        72.13       85.25     
00491                    61      44        72.13       93.44     
00142                    65      47        72.31       95.38     
00205                    65      47        72.31       92.31     
00460                    65      47        72.31       93.85     
00199                    62      45        72.58       88.71     
00317                    62      45        72.58       90.32     
00426                    62      45        72.58       96.77     
00483                    66      48        72.73       96.97     
00086                    63      46        73.02       88.89     
00401                    63      46        73.02       95.24     
00469                    63      46        73.02       90.48     
00486                    63      46        73.02       90.48     
00498                    63      46        73.02       87.30     
00431                    67      49        73.13       88.06     
00183                    60      44        73.33       95.00     
00021                    64      47        73.44       92.19     
00116                    64      47        73.44       87.50     
00293                    64      47        73.44       92.19     
00346                    64      47        73.44       90.62     
00093                    65      48        73.85       86.15     
00125                    65      48        73.85       90.77     
00320                    65      48        73.85       87.69     
00492                    65      48        73.85       95.38     
00016                    62      46        74.19       93.55     
00153                    62      46        74.19       93.55     
00053                    66      49        74.24       87.88     
00402                    66      49        74.24       92.42     
00008                    63      47        74.60       93.65     
00067                    63      47        74.60       95.24     
00148                    63      47        74.60       100.00    
00174                    63      47        74.60       90.48     
00216                    63      47        74.60       87.30     
00258                    63      47        74.60       95.24     
00333                    63      47        74.60       90.48     
00442                    63      47        74.60       98.41     
00308                    67      50        74.63       94.03     
00132                    64      48        75.00       93.75     
00279                    64      48        75.00       95.31     
00324                    68      51        75.00       91.18     
00331                    64      48        75.00       87.50     
00408                    64      48        75.00       96.88     
00450                    64      48        75.00       92.19     
00472                    64      48        75.00       95.31     
00030                    69      52        75.36       92.75     
00017                    65      49        75.38       92.31     
00056                    65      49        75.38       90.77     
00127                    65      49        75.38       90.77     
00350                    65      49        75.38       84.62     
00372                    65      49        75.38       98.46     
00393                    65      49        75.38       96.92     
00123                    61      46        75.41       90.16     
00315                    61      46        75.41       86.89     
00383                    66      50        75.76       89.39     
00057                    62      47        75.81       95.16     
00286                    62      47        75.81       88.71     
00414                    62      47        75.81       93.55     
00010                    63      48        76.19       95.24     
00382                    63      48        76.19       90.48     
00147                    55      42        76.36       96.36     
00106                    64      49        76.56       90.62     
00134                    64      49        76.56       90.62     
00417                    64      49        76.56       92.19     
00135                    65      50        76.92       87.69     
00243                    65      50        76.92       92.31     
00255                    65      50        76.92       89.23     
00496                    65      50        76.92       89.23     
